espn_id,player,team,position,jersey,height,weight,age,date_of_birth,birth_city,birth_state,birth_country,college,experience,status,headshot,espn_url,salary
4066259,De'Aaron Fox,Spurs,G,4,"6' 3""",185 lbs,28,1997-12-20T08:00Z,Houston,TX,USA,Kentucky,8,Active,https://a.espncdn.com/i/headshots/nba/players/full/4066259.png,https://www.espn.com/nba/player/_/id/4066259/deaaron-fox,37096620
5037871,Dylan Harper,Spurs,G,2,"6' 5""",215 lbs,20,2006-03-02T08:00Z,Franklin Lakes,NJ,USA,Rutgers,0,Active,https://a.espncdn.com/i/headshots/nba/players/full/5037871.png,https://www.espn.com/nba/player/_/id/5037871/dylan-harper,12370320
4433618,Harrison Ingram,Spurs,F,55,"6' 5""",230 lbs,23,2002-11-27T08:00Z,Dallas,TX,USA,North Carolina,1,Active,https://a.espncdn.com/i/headshots/nba/players/full/4433618.png,https://www.espn.com/nba/player/_/id/4433618/harrison-ingram,0
4395723,Keldon Johnson,Spurs,F,3,"6' 5""",220 lbs,26,1999-10-11T07:00Z,South Hill,VA,USA,Kentucky,6,Active,https://a.espncdn.com/i/headshots/nba/players/full/4395723.png,https://www.espn.com/nba/player/_/id/4395723/keldon-johnson,17500000
4713010,David Jones Garcia,Spurs,F,25,"6' 4""",210 lbs,24,2001-11-24T08:00Z,Santo Domingo,,Dominican Republic,Memphis,0,Active,https://a.espncdn.com/i/headshots/nba/players/full/4713010.png,https://www.espn.com/nba/player/_/id/4713010/david-jones-garcia,0
3064560,Luke Kornet,Spurs,C,7,"7' 1""",250 lbs,30,1995-07-15T07:00Z,Lantana,TX,USA,Vanderbilt,8,Active,https://a.espncdn.com/i/headshots/nba/players/full/3064560.png,https://www.espn.com/nba/player/_/id/3064560/luke-kornet,11000000
3134916,Jordan McLaughlin,Spurs,G,0,"6' 0""",185 lbs,30,1996-04-09T07:00Z,Etiwanda,CA,USA,USC,6,Active,https://a.espncdn.com/i/headshots/nba/players/full/3134916.png,https://www.espn.com/nba/player/_/id/3134916/jordan-mclaughlin,2296274
4432872,Emanuel Miller,Spurs,F,14,"6' 5""",215 lbs,25,2000-06-19T07:00Z,Scarborough,ON,Canada,TCU,1,Active,https://a.espncdn.com/i/headshots/nba/players/full/4432872.png,https://www.espn.com/nba/player/_/id/4432872/emanuel-miller,0
2489663,Kelly Olynyk,Spurs,F,8,"7' 0""",240 lbs,35,1991-04-19T07:00Z,Toronto,ON,Canada,Gonzaga,12,Active,https://a.espncdn.com/i/headshots/nba/players/full/2489663.png,https://www.espn.com/nba/player/_/id/2489663/kelly-olynyk,13445122
2488653,Mason Plumlee,Spurs,C,45,"7' 0""",254 lbs,36,1990-03-05T08:00Z,Fort Wayne,IN,USA,Duke,12,Active,https://a.espncdn.com/i/headshots/nba/players/full/2488653.png,https://www.espn.com/nba/player/_/id/2488653/mason-plumlee,593864
4395630,Devin Vassell,Spurs,G,24,"6' 5""",200 lbs,25,2000-08-23T07:00Z,Suwanee,GA,USA,Florida State,5,Active,https://a.espncdn.com/i/headshots/nba/players/full/4395630.png,https://www.espn.com/nba/player/_/id/4395630/devin-vassell,27000000
4066317,Lindy Waters III,Spurs,F,43,"6' 5""",210 lbs,28,1997-07-28T07:00Z,Norman,OK,USA,Oklahoma State,4,Active,https://a.espncdn.com/i/headshots/nba/players/full/4066317.png,https://www.espn.com/nba/player/_/id/4066317/lindy-waters-iii,2296274
5104157,Victor Wembanyama,Spurs,F,1,"7' 4""",235 lbs,22,2004-01-04T08:00Z,Paris,,France,,2,Active,https://a.espncdn.com/i/headshots/nba/players/full/5104157.png,https://www.espn.com/nba/player/_/id/5104157/victor-wembanyama,13376880
